Vehicle_ID,Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
V1,Sedan,2,105292,100,1908,50,6.1,11.62,41,37,Good,Low,7,Yes,"80,001+"
V2,Truck,5,118092,106,1681,33,16.7,11.63,43,92,Critical,High,12,Yes,"10,001–25,000"
V3,SUV,13,145965,91,2309,41,16.9,11.77,36,102,Good,Medium,4,No,"80,001+"
V4,Sedan,4,134240,96,1921,39,11.2,12.06,34,57,Moderate,Medium,4,No,"80,001+"
V5,Sedan,15,40626,93,2387,48,16.2,11.05,38,68,Worn,Low,4,No,"80,001+"
V6,Hatchback,14,163528,93,1526,32,18.1,11.45,30,56,Worn,High,10,No,"50,001–80,000"
V7,Truck,5,164886,96,2224,43,14.7,12.7,35,50,Critical,High,4,Yes,"50,001–80,000"
V8,Sedan,12,153805,108,2738,23,7.0,11.99,40,72,Moderate,Medium,3,Yes,"25,001–50,000"
V9,SUV,15,155042,105,2376,24,5.1,11.73,38,64,Moderate,Low,3,Yes,"25,001–50,000"
V10,Sedan,13,130468,96,2934,30,16.3,11.85,40,73,Critical,Low,3,No,"50,001–80,000"
V11,SUV,3,172594,88,2539,39,16.4,12.39,43,86,Worn,Medium,7,Yes,"80,001+"
V12,Sedan,2,109158,90,1825,27,9.0,12.86,40,44,Critical,Medium,2,No,"50,001–80,000"
V13,SUV,5,191363,90,2533,49,19.2,12.11,33,53,Worn,Low,3,No,"80,001+"
V14,SUV,10,145661,89,2987,43,13.2,12.62,31,36,Good,Low,4,No,"80,001+"
V15,Sedan,1,160069,86,2024,50,18.0,12.77,39,34,Good,Low,7,Yes,"80,001+"
V16,Hatchback,7,191038,100,2858,29,6.6,11.61,41,107,Worn,Low,10,Yes,"50,001–80,000"
V17,SUV,14,130600,102,2467,39,10.5,11.3,44,96,Moderate,Medium,1,Yes,"50,001–80,000"
V18,Hatchback,13,146568,87,2917,39,16.1,11.57,43,44,Good,Medium,8,No,"80,001+"
V19,Truck,13,181162,85,2690,26,19.6,11.36,30,45,Moderate,Medium,11,No,"50,001–80,000"
V20,Truck,8,148338,97,1757,49,12.8,12.8,37,79,Critical,Medium,2,Yes,"80,001+"
V21,Truck,12,103494,110,2889,46,15.6,12.72,37,90,Critical,Low,11,No,"25,001–50,000"
V22,Hatchback,5,198244,107,2346,37,8.5,12.71,37,94,Worn,Medium,1,Yes,"80,001+"
V23,Sedan,4,163340,95,2444,46,19.2,11.08,39,97,Moderate,Low,2,No,"80,001+"
V24,Hatchback,1,81582,103,2886,23,15.4,11.71,43,41,Worn,Low,3,Yes,"50,001–80,000"
V25,Truck,15,169416,88,2397,30,5.7,11.75,40,79,Critical,Low,6,No,"50,001–80,000"
V26,Truck,15,43118,100,2990,20,14.7,11.61,40,42,Good,High,6,Yes,"25,001–50,000"
V27,Sedan,10,159986,94,2918,45,14.1,11.33,33,49,Worn,High,6,Yes,"80,001+"
V28,Hatchback,12,37566,107,2011,39,8.3,11.86,35,49,Moderate,Low,8,No,"50,001–80,000"
V29,Sedan,7,17125,97,1629,21,14.3,12.96,31,39,Worn,Medium,6,Yes,"80,001+"
V30,Truck,14,104430,108,1728,27,19.3,12.96,41,110,Good,Medium,7,Yes,"25,001–50,000"
V31,Sedan,9,17136,89,1690,42,5.6,12.39,30,84,Critical,Medium,6,Yes,"80,001+"
V32,Hatchback,2,150293,86,2319,40,6.6,12.15,39,97,Good,Low,3,No,"80,001+"
V33,Sedan,15,129212,102,2201,25,14.2,12.68,30,86,Worn,Low,5,Yes,"25,001–50,000"
V34,Truck,14,115186,103,1970,44,8.6,11.71,30,92,Critical,Medium,8,Yes,"25,001–50,000"
V35,Truck,3,167030,101,1623,45,8.5,12.31,41,65,Moderate,Low,4,No,"80,001+"
V36,Truck,7,197247,87,2894,45,18.3,12.41,32,46,Moderate,Medium,4,Yes,"80,001+"
V37,Hatchback,15,101580,97,1546,20,8.6,11.78,35,85,Worn,High,7,Yes,"25,001–50,000"
V38,Sedan,13,56046,90,2730,36,12.8,11.09,30,66,Critical,Low,5,No,"50,001–80,000"
V39,Sedan,2,98973,98,2586,27,8.2,12.48,44,64,Critical,Medium,9,Yes,"25,001–50,000"
V40,Sedan,3,114804,104,1665,29,17.4,12.01,43,98,Critical,Low,9,No,"10,001–25,000"
V41,Sedan,12,196919,98,2885,30,10.5,11.84,31,91,Worn,High,7,Yes,"50,001–80,000"
V42,SUV,7,195913,97,1868,31,9.5,11.34,37,40,Good,High,6,No,"80,001+"
V43,Hatchback,9,93392,97,2362,25,9.8,11.28,33,60,Worn,Medium,8,Yes,"80,001+"
V44,Sedan,6,173346,87,1736,20,13.3,11.78,40,63,Good,Medium,9,Yes,"50,001–80,000"
V45,Truck,1,160248,103,2292,44,19.3,12.59,44,55,Good,High,12,Yes,"25,001–50,000"
V46,SUV,4,143409,92,1814,40,10.4,12.82,44,103,Moderate,High,8,No,"80,001+"
V47,SUV,9,52608,87,2897,35,19.2,12.3,40,76,Critical,Medium,2,No,"80,001+"
V48,SUV,9,169294,91,2398,35,13.9,11.86,33,60,Moderate,Medium,7,Yes,"80,001+"
V49,Sedan,14,193869,100,2394,35,10.0,11.35,40,39,Moderate,Medium,2,Yes,"80,001+"
V50,SUV,11,142407,86,1637,44,12.6,12.9,43,54,Good,Low,4,No,"80,001+"
V51,Hatchback,7,85260,98,2859,46,14.1,11.22,37,63,Critical,Low,10,Yes,"50,001–80,000"
V52,Truck,6,118449,106,1742,34,6.9,11.76,34,90,Critical,Medium,3,Yes,"50,001–80,000"
V53,SUV,8,58906,97,2117,35,11.0,12.86,35,101,Worn,Low,4,No,"80,001+"
V54,Hatchback,15,108120,110,2939,46,5.7,11.18,41,37,Critical,High,10,No,"10,001–25,000"
V55,Truck,1,58659,90,2421,48,13.8,11.33,34,90,Good,Medium,5,Yes,"80,001+"
V56,Truck,11,164304,86,2320,30,19.4,11.24,40,43,Good,Medium,9,Yes,"80,001+"
V57,SUV,4,59777,87,2275,21,15.2,12.34,43,110,Good,High,7,No,"50,001–80,000"
V58,SUV,11,112514,87,2095,31,10.6,11.76,42,81,Worn,Low,3,Yes,"80,001+"
V59,SUV,4,157795,102,2571,23,19.7,11.14,43,34,Good,Medium,12,Yes,"25,001–50,000"
V60,Hatchback,1,22211,110,1822,50,15.3,11.35,45,96,Worn,High,3,No,"50,001–80,000"
V61,Sedan,6,37660,90,1540,47,7.0,11.54,32,55,Good,Medium,7,Yes,"80,001+"
V62,SUV,8,154586,99,2420,37,16.1,12.54,30,44,Moderate,Medium,5,Yes,"80,001+"
V63,Truck,2,59712,97,2882,31,14.0,11.44,31,57,Critical,Low,2,Yes,"80,001+"
V64,SUV,8,133029,92,2020,48,15.0,12.39,36,87,Worn,Medium,9,No,"80,001+"
V65,SUV,12,141412,99,2174,20,16.4,11.78,42,82,Worn,Medium,9,No,"50,001–80,000"
V66,Hatchback,14,153567,91,1784,50,19.1,12.42,40,85,Worn,High,8,Yes,"50,001–80,000"
V67,Hatchback,13,80761,95,1552,23,13.0,12.03,40,60,Moderate,Medium,10,Yes,"50,001–80,000"
V68,Sedan,8,115001,90,1749,20,13.8,11.77,34,102,Moderate,High,12,Yes,"25,001–50,000"
V69,SUV,10,130291,101,2833,43,15.3,11.37,45,50,Worn,Low,12,Yes,"50,001–80,000"
V70,Sedan,10,137019,108,2673,43,9.4,12.39,43,77,Critical,Low,6,No,"50,001–80,000"
V71,SUV,15,67917,97,2110,21,8.0,11.42,35,63,Moderate,Medium,4,Yes,"50,001–80,000"
V72,SUV,5,86874,87,2762,31,9.5,12.8,38,76,Critical,Medium,3,Yes,"80,001+"
V73,SUV,10,100186,107,2692,50,11.5,11.93,44,77,Good,Low,6,No,"80,001+"
V74,Truck,14,42700,92,2798,35,7.6,11.58,42,54,Worn,Low,9,No,"80,001+"
V75,Truck,2,131567,105,1872,45,16.6,11.69,33,89,Worn,Medium,7,Yes,"80,001+"
V76,Sedan,3,11706,95,2657,26,10.1,11.33,45,67,Good,Medium,9,Yes,"50,001–80,000"
V77,SUV,13,107611,106,2389,36,12.9,12.36,40,83,Moderate,Medium,10,No,"50,001–80,000"
V78,Truck,3,77884,90,2155,46,6.2,11.95,43,70,Good,Low,5,Yes,"80,001+"
V79,Hatchback,11,21127,93,1567,46,9.9,12.65,31,97,Good,High,10,No,"50,001–80,000"
V80,SUV,14,72694,105,1656,30,7.1,11.03,38,60,Moderate,High,8,No,"25,001–50,000"
V81,Truck,7,34139,87,2564,23,11.6,12.08,33,42,Good,Medium,5,Yes,"80,001+"
V82,Sedan,2,101573,103,1662,43,17.9,11.3,35,62,Worn,Medium,2,No,"80,001+"
V83,Sedan,5,41798,99,1888,44,6.1,12.27,37,93,Good,Medium,12,Yes,"80,001+"
V84,Hatchback,1,94217,104,2001,46,5.6,12.34,34,91,Good,Low,3,Yes,"80,001+"
V85,Sedan,10,65436,108,2787,36,17.9,11.42,36,71,Worn,Low,9,Yes,"50,001–80,000"
V86,Hatchback,9,118555,98,2880,22,12.3,12.0,33,48,Good,Low,11,Yes,"50,001–80,000"
V87,Truck,12,111009,107,2019,47,19.0,12.07,31,93,Worn,Medium,9,Yes,"50,001–80,000"
V88,SUV,2,52172,107,1963,41,8.3,12.68,31,110,Good,High,5,No,"50,001–80,000"
V89,Truck,7,126993,91,1889,37,13.3,11.18,34,95,Worn,Low,6,Yes,"80,001+"
V90,SUV,13,128884,90,1632,21,15.8,11.35,43,55,Good,Medium,7,Yes,"50,001–80,000"
V91,Hatchback,13,125413,109,2406,38,13.4,12.48,34,42,Good,Medium,12,No,"50,001–80,000"
V92,Truck,6,56041,97,1830,28,8.5,11.95,42,68,Good,Medium,3,Yes,"80,001+"
V93,SUV,15,27987,110,2320,25,14.3,11.59,38,90,Worn,Medium,12,Yes,"25,001–50,000"
V94,Truck,2,195340,109,1824,23,6.1,11.54,33,86,Critical,Low,7,No,"25,001–50,000"
V95,Truck,8,8783,87,2351,46,14.2,11.19,38,82,Moderate,High,3,No,"80,001+"
V96,Truck,11,161334,101,1904,29,17.5,12.46,32,36,Critical,High,8,No,"0–10,000"
V97,Sedan,11,72635,101,1733,26,7.3,11.39,36,100,Critical,Medium,10,No,"10,001–25,000"
V98,Hatchback,9,187948,103,2711,48,5.3,12.7,41,67,Moderate,High,8,No,"50,001–80,000"
V99,Truck,9,84152,95,2475,28,18.1,11.68,35,84,Worn,High,7,No,"50,001–80,000"
V100,Hatchback,2,32252,108,1973,43,12.1,11.1,42,61,Critical,Low,11,Yes,"25,001–50,000"
V101,SUV,11,189894,102,2783,45,8.1,11.56,34,32,Moderate,Low,7,Yes,"50,001–80,000"
V102,Truck,4,122376,102,2731,34,13.7,11.26,38,89,Worn,Medium,2,No,"80,001+"
V103,SUV,9,54595,101,2266,33,13.3,11.44,36,54,Moderate,Medium,10,Yes,"50,001–80,000"
V104,Truck,11,24004,103,2791,29,7.9,11.21,34,75,Worn,Medium,12,No,"25,001–50,000"
V105,SUV,9,176588,85,1974,31,10.4,12.57,44,59,Good,Low,3,Yes,"80,001+"
V106,Truck,13,168195,110,2300,26,17.4,12.64,39,31,Moderate,Medium,7,No,"25,001–50,000"
V107,Hatchback,9,110218,95,2451,50,12.3,11.14,43,75,Moderate,Medium,8,No,"80,001+"
V108,Truck,8,135824,92,1813,42,14.9,12.12,32,32,Critical,Medium,6,No,"80,001+"
V109,SUV,12,78586,85,2869,34,9.0,11.42,35,94,Moderate,Medium,5,No,"80,001+"
V110,SUV,5,88063,93,2923,21,11.8,11.5,32,87,Worn,Low,10,No,"50,001–80,000"
V111,Hatchback,12,113987,86,1921,22,17.1,12.42,39,100,Moderate,Low,1,No,"50,001–80,000"
V112,Hatchback,12,159021,85,1788,26,14.5,11.97,34,93,Worn,Low,11,No,"50,001–80,000"
V113,Truck,8,174394,89,2316,31,13.0,12.75,31,59,Critical,Low,12,No,"50,001–80,000"
V114,Sedan,13,15179,93,2397,48,12.9,12.28,38,59,Critical,Medium,6,Yes,"50,001–80,000"
