Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
SUV,8,179883,96,2343,47,6.9,11.99,39,96,Worn,High,6,Yes,"35,001–60,000"
SUV,13,105839,90,1848,45,15.9,11.3,34,40,Critical,Medium,2,No,"15,001–35,000"
Truck,15,87424,93,2896,29,8.7,12.85,44,86,Worn,Medium,9,Yes,"15,001–35,000"
Hatchback,13,177199,94,2921,50,19.4,11.47,36,66,Moderate,High,7,Yes,"15,001–35,000"
SUV,13,142561,98,2808,48,14.1,11.92,38,49,Moderate,Low,7,Yes,"35,001–60,000"
Hatchback,7,59292,102,2914,42,16.8,11.29,43,102,Worn,Medium,4,No,"35,001–60,000"
Hatchback,15,23877,98,1683,23,5.4,11.11,43,39,Worn,Low,9,Yes,"15,001–35,000"
Truck,15,144913,109,2898,20,18.6,12.58,39,47,Good,High,5,No,"5,001–15,000"
Hatchback,12,26581,87,2262,24,15.4,11.11,35,52,Critical,Low,8,Yes,"15,001–35,000"
Sedan,3,191627,109,2289,21,17.7,11.58,40,42,Critical,High,4,Yes,"0–5,000"
Hatchback,5,8807,91,2761,26,12.6,12.15,36,108,Worn,Low,6,Yes,"35,001–60,000"
Sedan,2,150775,97,1569,35,8.5,11.75,43,78,Good,Low,12,No,"35,001–60,000"
Hatchback,4,28544,87,2767,34,10.7,12.52,42,75,Worn,Medium,11,No,"35,001–60,000"
SUV,4,92421,89,1724,42,12.1,12.16,30,30,Moderate,Medium,9,Yes,"60,001+"
Sedan,13,152244,94,1536,26,8.1,11.59,43,60,Moderate,High,6,No,"5,001–15,000"
Truck,4,79828,102,2837,49,16.6,12.62,42,54,Worn,High,6,Yes,"15,001–35,000"
SUV,3,113462,94,2279,45,12.3,12.33,40,40,Good,High,7,No,"35,001–60,000"
Hatchback,1,98656,89,2542,21,7.6,12.6,35,106,Critical,Low,1,Yes,"15,001–35,000"
Hatchback,2,12220,88,1893,39,10.5,11.68,35,76,Moderate,Medium,10,Yes,"60,001+"
SUV,14,10364,96,1883,47,7.4,11.07,45,71,Moderate,Medium,3,No,"35,001–60,000"
Sedan,4,130172,85,2689,48,13.7,12.77,34,64,Moderate,High,2,Yes,"35,001–60,000"
Truck,12,139747,102,2510,29,12.5,11.66,33,39,Good,Low,5,Yes,"15,001–35,000"
SUV,12,131841,87,2333,26,18.3,12.14,42,98,Critical,High,6,No,"0–5,000"
Truck,11,63090,105,2257,35,12.8,12.04,33,95,Good,High,1,Yes,"15,001–35,000"
Truck,11,153629,106,1674,45,18.6,12.01,35,66,Worn,Low,9,No,"15,001–35,000"
Hatchback,6,62242,104,2614,48,15.0,12.94,40,61,Moderate,Low,6,No,"35,001–60,000"
SUV,9,35259,89,1542,25,19.4,12.43,39,59,Moderate,Medium,4,No,"35,001–60,000"
SUV,12,53772,110,2542,26,15.8,11.96,30,38,Moderate,Medium,6,No,"15,001–35,000"
Truck,7,57606,91,2099,45,17.2,12.28,35,104,Good,High,8,No,"60,001+"
Sedan,15,14584,89,1838,32,9.5,12.39,43,67,Critical,Low,10,No,"15,001–35,000"
SUV,8,153825,98,1690,46,11.3,12.41,34,40,Critical,Medium,11,Yes,"15,001–35,000"
Hatchback,2,147276,99,2053,44,5.3,11.91,38,85,Good,High,6,No,"35,001–60,000"
Hatchback,10,31923,107,2032,42,15.2,12.82,45,49,Critical,High,4,Yes,"5,001–15,000"
Sedan,9,37251,109,2101,23,15.0,12.26,33,62,Worn,High,11,No,"5,001–15,000"
Sedan,4,182998,105,1723,23,18.4,12.24,33,46,Critical,High,2,No,"0–5,000"
SUV,9,166989,100,1580,32,17.4,11.4,32,46,Worn,Medium,11,No,"35,001–60,000"
Sedan,10,50190,107,1770,47,6.3,12.98,42,60,Moderate,Low,7,Yes,"35,001–60,000"
Sedan,15,188417,99,2905,24,14.6,12.21,35,101,Good,Low,3,No,"35,001–60,000"
SUV,6,77781,85,2172,30,6.5,12.19,39,84,Worn,Low,3,No,"60,001+"
Sedan,14,71107,86,2159,46,18.5,12.59,44,32,Critical,Low,8,Yes,"35,001–60,000"
Sedan,2,37978,110,2948,35,9.8,11.67,45,69,Good,High,6,No,"15,001–35,000"
Hatchback,14,161422,105,2761,33,18.1,11.12,40,94,Moderate,Medium,9,Yes,"15,001–35,000"
Sedan,1,177498,91,2618,26,12.3,12.45,39,87,Worn,High,11,Yes,"5,001–15,000"
Sedan,10,189463,104,2629,48,8.9,12.41,37,98,Moderate,Low,1,No,"35,001–60,000"
SUV,15,145281,86,2709,37,8.1,12.74,31,46,Critical,Low,11,Yes,"15,001–35,000"
Sedan,14,169380,95,2287,42,14.5,12.77,40,74,Moderate,Medium,1,No,"35,001–60,000"
Hatchback,2,92879,100,2353,25,14.5,12.24,32,89,Moderate,Low,11,Yes,"15,001–35,000"
Hatchback,11,141532,89,1709,45,10.5,12.71,34,88,Good,Low,12,No,"35,001–60,000"
SUV,8,195288,90,2318,37,18.6,12.32,37,104,Good,Low,12,No,"35,001–60,000"
Truck,11,111439,85,1952,49,9.0,12.56,37,83,Moderate,Medium,12,No,"35,001–60,000"
Sedan,6,135920,100,1560,30,17.2,11.53,38,78,Critical,Low,12,No,"35,001–60,000"
