Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
SUV,4,9476,107,1534,24,18.0,12.24,43,66,Moderate,High,8,Yes,39868–68582
Hatchback,10,197247,92,1822,32,11.1,12.17,42,51,Moderate,Medium,10,Yes,43551–57377
Sedan,1,104468,102,1813,37,5.8,12.52,36,79,Critical,Medium,1,Yes,60395–68223
Truck,9,49512,93,2026,39,16.3,12.71,41,58,Critical,High,3,No,37016–60336
Hatchback,1,73451,92,2796,43,5.3,11.9,40,60,Moderate,High,8,Yes,46904–55208
SUV,2,80552,97,2175,21,8.6,12.46,33,90,Moderate,High,11,Yes,42807–44921
SUV,8,21021,105,2751,29,6.3,12.62,34,40,Moderate,Low,3,No,59549–65265
Hatchback,9,170876,92,1558,34,11.2,11.18,36,37,Good,Low,4,Yes,59251–73447
Hatchback,4,107204,96,1631,38,11.5,12.67,32,96,Good,Low,3,No,63195–73769
Sedan,10,71446,93,2316,28,7.4,11.72,38,110,Good,Medium,11,Yes,38480–65168
Hatchback,12,12734,88,2761,32,6.0,11.81,44,65,Good,Low,1,No,51058–77398
Hatchback,4,13669,93,1572,32,13.1,11.37,38,100,Worn,Medium,10,Yes,50261–73205
Hatchback,4,112308,94,2073,50,15.6,11.27,44,81,Moderate,High,2,Yes,44910–71588
SUV,5,193315,90,1701,33,5.9,12.68,43,40,Good,Low,10,No,67815–74137
Sedan,5,71977,101,2859,32,15.8,11.65,35,44,Moderate,Medium,12,Yes,50165–66405
Truck,14,128509,100,2163,28,5.5,12.7,31,61,Moderate,Medium,2,Yes,35650–55062
Hatchback,14,54670,103,2524,26,10.6,11.72,44,67,Moderate,Medium,5,No,43080–50702
Truck,12,142483,108,2443,44,5.6,12.17,35,105,Worn,Medium,4,No,43251–60673
Hatchback,13,83095,87,1687,39,14.6,12.69,30,78,Worn,Low,8,Yes,40900–58156
Hatchback,2,81622,99,1868,35,14.1,12.98,41,109,Moderate,Low,6,No,70816–85900
Truck,14,120387,101,2140,45,18.0,12.86,44,84,Worn,High,12,No,20545–37373
SUV,2,61187,102,2790,21,13.2,12.08,38,75,Good,Medium,9,Yes,60885–65623
Sedan,13,34709,93,2684,28,8.6,11.99,41,88,Critical,Low,7,Yes,45719–61315
Truck,2,98642,110,1588,46,9.0,11.47,35,97,Moderate,High,3,No,41112–61768
Sedan,7,30266,100,1936,42,13.1,12.22,39,90,Good,High,9,No,37455–60055
SUV,11,192735,109,2722,30,10.5,11.83,36,57,Good,High,1,Yes,41141–46855
Truck,1,150001,102,1964,47,7.6,11.7,37,85,Critical,High,6,Yes,43883–59109
Hatchback,14,33284,92,1528,49,11.7,11.54,37,38,Worn,Low,10,Yes,48662–58724
Truck,5,42006,110,1745,24,7.8,12.68,34,40,Good,High,7,No,41530–59984
Hatchback,8,181550,85,2166,50,19.7,12.31,35,54,Critical,High,7,Yes,35770–51656
Hatchback,9,178248,94,2026,38,5.4,11.4,41,42,Worn,Low,5,Yes,47934–75832
Hatchback,10,188927,94,1533,29,6.0,11.68,42,73,Critical,High,4,Yes,30627–51855
SUV,7,67035,108,2591,29,11.3,11.33,38,77,Good,Medium,12,Yes,46261–62053
SUV,10,30359,91,1548,31,5.3,11.22,43,99,Critical,High,10,Yes,26819–43217
Sedan,14,45093,107,2288,27,7.8,11.32,31,92,Moderate,Medium,6,Yes,39480–62736
Hatchback,1,50145,93,2689,50,17.5,12.4,34,40,Moderate,Low,12,Yes,63142–81940
Truck,6,174873,97,2891,50,8.3,12.96,33,82,Worn,Medium,10,Yes,42879–64683
Sedan,2,186755,88,2383,47,13.6,12.34,37,33,Worn,High,7,No,33329–63295
SUV,6,127248,101,2757,27,15.1,12.5,38,54,Critical,Low,11,No,40988–69078
Truck,1,36350,99,2013,43,18.8,12.95,39,48,Critical,Low,11,No,55077–82573
Truck,12,160218,89,2270,39,15.2,11.9,41,56,Good,Medium,11,Yes,26808–55958
Sedan,7,83707,92,1832,42,7.1,11.6,37,89,Good,Low,3,Yes,74096–77944
Truck,12,143384,98,2245,26,8.2,11.13,39,30,Worn,Low,1,Yes,51830–65042
Sedan,3,64701,103,1708,28,15.2,11.5,33,78,Moderate,Medium,7,No,48974–61526
SUV,14,53532,95,2395,37,18.4,11.03,32,94,Worn,High,8,Yes,27714–44560
SUV,3,21521,105,2405,49,19.6,12.77,32,80,Critical,High,8,Yes,45125–56911
SUV,14,38172,97,2865,44,17.8,12.25,32,33,Moderate,Low,9,No,58911–62213
SUV,9,84986,85,2688,37,5.8,12.06,31,90,Moderate,Medium,2,Yes,54623–74491
Hatchback,15,92387,98,1897,26,5.6,12.85,39,98,Worn,High,2,No,37079–44023
SUV,14,137104,109,2542,38,8.5,12.58,45,31,Worn,High,12,Yes,28114–32274
Hatchback,6,162725,105,2945,35,10.4,12.47,38,78,Critical,Medium,11,No,39510–54132
Hatchback,11,111044,102,2133,50,19.6,12.96,41,63,Worn,Low,1,No,61450–66044
SUV,7,47035,94,1546,49,20.0,12.35,45,103,Moderate,Low,9,No,51736–76862
Sedan,13,81508,105,2771,39,11.7,12.65,45,32,Moderate,Low,6,Yes,52882–70560
Truck,10,57991,103,2890,37,15.1,12.11,34,69,Moderate,Medium,11,No,44515–60329
Sedan,10,90468,110,1860,28,19.1,12.49,31,37,Moderate,Low,7,No,48968–58206
Truck,4,144866,86,2126,26,6.0,12.56,43,72,Good,Low,6,Yes,65592–83152
Hatchback,10,187163,87,2355,37,12.2,12.16,44,60,Critical,High,3,No,39109–64065
Sedan,13,77299,98,2144,38,15.4,12.12,42,86,Critical,Medium,2,Yes,49159–53213
Truck,9,131607,95,1769,26,7.2,12.66,31,96,Good,High,11,Yes,28524–37614
SUV,1,135824,108,2357,50,9.4,12.31,31,105,Worn,High,9,Yes,46409–60839
Hatchback,4,146746,100,2883,49,12.2,11.82,31,88,Critical,Medium,7,Yes,46440–64836
Truck,12,78010,104,2759,46,8.4,12.44,31,90,Good,Medium,4,Yes,43418–72612
Truck,14,5174,88,2096,35,5.8,12.04,33,46,Good,High,10,No,23830–43668
Hatchback,10,149572,85,1615,42,9.1,11.77,37,30,Worn,Medium,11,Yes,46214–54304
Truck,2,45044,100,1843,48,13.4,12.66,30,94,Good,High,6,No,52820–61316
Hatchback,5,159162,104,2980,35,19.2,11.52,35,51,Worn,Low,2,No,56841–74427
Truck,9,63787,95,2072,48,13.7,12.48,43,37,Critical,Medium,10,No,39621–59689
Truck,9,109463,88,2112,21,18.9,12.51,41,34,Critical,Medium,3,No,44890–60888
SUV,3,54417,94,1756,26,7.7,11.98,42,43,Critical,Low,12,Yes,59088–71646
SUV,14,11983,108,2350,39,13.9,12.63,34,99,Moderate,Low,5,No,48638–51878
Sedan,1,119499,110,1819,49,7.1,11.11,44,69,Moderate,Medium,8,No,62121–71635
Hatchback,13,76435,101,2207,47,14.6,12.59,37,96,Good,High,8,Yes,28679–43819
Hatchback,8,32649,109,2676,43,9.7,11.17,45,46,Moderate,Low,7,Yes,53481–60481
Truck,8,53807,93,2958,31,12.6,11.39,43,70,Good,Low,5,No,54823–69869
SUV,14,187305,110,2920,21,16.7,12.52,42,41,Worn,Low,3,Yes,46123–59147
Sedan,3,40225,90,2194,42,7.0,12.43,44,85,Moderate,Low,1,No,75672–83882
Hatchback,15,58546,110,1895,47,13.7,12.23,44,59,Good,High,12,Yes,12760–30720
SUV,8,78949,104,2674,49,12.8,12.91,42,64,Moderate,High,8,No,36749–41577
SUV,15,39244,86,1937,24,19.6,12.63,36,74,Worn,Low,11,No,42556–54188
Sedan,5,141088,108,1594,20,19.8,11.27,41,95,Critical,Medium,8,No,51662–68268
Hatchback,4,72425,99,2344,47,10.7,12.3,32,56,Worn,High,3,Yes,58924–62744
Truck,6,137115,107,2547,35,19.8,12.58,43,57,Moderate,High,7,Yes,45670–54874
Truck,8,61684,90,2108,28,13.3,11.69,42,48,Critical,Low,1,Yes,68756–78956
Truck,7,54015,98,1792,43,11.1,11.26,32,102,Good,High,12,Yes,28922–50076
Sedan,2,187001,92,1857,40,11.3,12.76,37,63,Critical,Medium,1,Yes,68800–78288
Hatchback,9,87899,108,2052,32,6.4,11.98,40,46,Good,Low,8,No,41813–69149
Sedan,2,65600,88,2379,23,6.1,12.01,32,67,Good,High,3,Yes,63980–66038
SUV,4,81480,92,1509,26,7.2,12.07,32,32,Worn,Medium,3,No,52695–66543
Truck,5,124393,86,2037,33,5.8,12.05,37,107,Moderate,High,5,No,43423–55841
SUV,10,87803,108,2279,46,12.2,11.1,34,110,Good,Low,6,No,57668–74350
Sedan,8,140800,91,1780,33,13.5,11.52,39,93,Moderate,High,11,No,37927–44061
Hatchback,7,157378,96,1730,24,6.8,12.93,38,38,Moderate,High,6,No,43976–51134
SUV,13,60557,108,2266,28,14.4,11.07,35,99,Good,High,11,Yes,17483–46083
Truck,15,102455,98,2764,49,14.4,11.1,34,63,Good,Low,4,Yes,54546–64000
Truck,1,196591,90,2966,24,8.7,12.56,43,49,Moderate,Low,3,No,69879–76125
Truck,9,89022,106,1662,24,7.3,12.28,43,38,Moderate,Low,6,Yes,58500–69236
Hatchback,6,140874,108,1884,26,12.2,11.02,43,63,Moderate,High,12,No,30457–42551
Truck,15,41201,100,1502,35,13.4,11.72,31,35,Critical,Medium,8,Yes,38870–61502
Truck,7,65342,107,2788,27,12.4,11.96,35,45,Good,Medium,4,Yes,52886–61072
Hatchback,11,103856,95,1580,49,15.6,12.81,32,97,Critical,Medium,6,No,42734–64794
Truck,6,184896,93,2377,38,13.2,12.87,33,72,Good,Low,5,No,59517–72803
Sedan,6,138998,110,1863,28,8.7,11.92,45,94,Worn,High,4,Yes,37906–42952
Truck,10,98831,108,1997,48,18.9,11.28,35,55,Good,High,7,Yes,39795–44059
Hatchback,3,132415,88,1991,36,15.0,11.59,38,54,Moderate,Medium,4,No,64047–78193
SUV,11,121210,106,2244,42,13.4,11.41,44,43,Worn,High,8,No,35524–42190
SUV,1,164594,103,1654,47,12.3,12.14,42,39,Critical,Low,1,No,73528–87812
Sedan,3,162029,92,2355,45,9.1,12.18,34,46,Moderate,High,8,Yes,50574–63474
Truck,11,173409,88,1845,37,15.9,11.16,43,91,Critical,Medium,2,No,41944–61446
Hatchback,4,52761,94,2446,24,8.8,12.28,39,48,Moderate,High,11,Yes,43365–55219
SUV,9,92556,106,2130,40,12.2,12.31,36,65,Good,High,7,No,32818–56268
Sedan,3,48740,101,1627,25,14.7,12.1,36,65,Moderate,Medium,7,Yes,61527–74687
Truck,14,151945,89,2501,22,18.1,11.37,37,61,Worn,Low,4,Yes,49669–60005
SUV,7,196851,106,2881,36,9.0,12.09,38,32,Worn,Low,2,Yes,46566–76422
Truck,5,81955,90,2110,27,18.5,12.41,32,53,Good,High,1,No,56152–68094
Truck,9,12748,100,2285,37,16.4,11.06,43,59,Worn,High,5,No,33175–60299
Hatchback,5,164067,104,2138,20,9.8,11.1,43,50,Moderate,High,1,Yes,39769–61109
Truck,7,80623,103,2522,36,14.5,12.91,38,74,Critical,High,11,No,37256–60002
Truck,12,195661,102,2793,28,8.0,11.76,37,101,Worn,Low,12,No,38918–57314
SUV,14,47578,85,1802,23,9.5,11.07,38,57,Moderate,High,8,Yes,26104–46312
SUV,7,71577,94,2874,39,15.2,11.99,43,69,Moderate,Low,8,No,46424–73606
Hatchback,15,193081,92,2019,25,14.6,11.9,32,71,Moderate,High,10,No,30958–33058
Truck,8,72214,105,2382,20,18.1,12.3,45,76,Moderate,Low,6,Yes,57528–61824
Truck,9,113762,85,1520,36,13.1,11.35,45,78,Critical,Medium,10,Yes,40221–55217
SUV,1,195811,85,2345,29,16.7,11.33,40,59,Moderate,High,1,No,43490–66186
Truck,14,153220,96,2548,20,10.7,11.39,41,102,Moderate,High,12,Yes,17526–33260
Hatchback,1,97893,101,1876,38,17.1,12.47,34,73,Good,Medium,10,No,65806–69602
Truck,7,162000,91,1756,32,17.9,11.52,33,67,Worn,High,6,No,38529–56991
SUV,4,41999,103,2559,48,19.7,11.21,35,61,Critical,Medium,9,No,53674–65894
Hatchback,6,165037,88,2092,30,16.8,11.93,31,37,Worn,Medium,4,No,42259–66613
Sedan,7,126140,95,1819,40,13.8,12.21,43,63,Worn,Low,3,No,61674–75286
Truck,14,161425,101,1524,37,11.3,12.99,37,30,Good,High,8,No,25713–42731
Hatchback,1,117973,90,2915,32,7.5,11.26,39,35,Critical,Medium,3,No,65475–82633
SUV,11,152275,108,2038,22,14.1,12.22,33,72,Good,Medium,9,Yes,28087–51607
SUV,14,86757,88,1551,46,10.9,11.68,41,87,Moderate,High,4,Yes,30160–45516
Sedan,8,158912,101,2194,28,7.2,12.85,33,102,Good,Medium,12,No,47314–55292
Sedan,9,140091,106,2136,20,19.2,11.21,37,101,Worn,High,2,No,30898–56374
SUV,2,159451,101,2991,50,19.3,12.18,38,87,Worn,Low,8,No,51864–77436
Hatchback,10,89449,94,1801,49,9.0,11.71,31,58,Moderate,Low,10,Yes,49139–69471
Sedan,10,192442,110,2487,22,9.6,11.29,30,32,Good,Medium,2,Yes,56063–58299
SUV,1,35435,110,1511,29,6.0,12.9,34,71,Critical,High,8,Yes,46342–54052
Truck,13,93809,87,2176,33,19.9,11.01,42,34,Good,Low,1,Yes,53539–71983
Sedan,13,41250,105,2848,42,13.1,12.35,35,88,Worn,High,1,No,32168–44120
Hatchback,10,121786,95,2776,48,5.4,12.21,38,102,Critical,Low,4,Yes,60025–76155
Truck,7,99451,105,1682,20,14.5,12.56,40,73,Critical,High,2,No,38453–54807
Hatchback,8,22013,85,2963,43,14.2,12.73,31,47,Moderate,High,2,Yes,42425–72281
Sedan,4,62441,99,1843,41,13.9,11.82,38,52,Good,Low,8,No,61504–86164
SUV,10,183084,95,2203,22,17.2,11.81,31,36,Good,High,11,No,28393–37197
Sedan,1,137341,97,1958,34,6.3,11.89,34,79,Good,Medium,9,No,54562–65234
SUV,8,149550,99,2135,25,9.8,12.84,42,32,Critical,High,10,No,23590–49714
SUV,2,121018,109,2603,25,16.6,12.97,33,86,Moderate,Medium,1,No,66391–71747
Truck,8,45678,100,1990,21,8.9,12.65,43,31,Good,Medium,7,Yes,41326–59714
Hatchback,7,56111,93,2762,46,9.1,12.98,35,108,Moderate,High,6,Yes,33797–60987
Hatchback,2,121831,106,1518,35,14.5,12.3,34,44,Worn,Medium,8,Yes,58581–61859
SUV,3,119877,90,1547,37,18.1,12.21,35,68,Good,Medium,3,No,55806–84752
Hatchback,5,189173,101,2639,35,9.8,12.8,45,73,Good,High,7,Yes,37908–58600
Hatchback,14,5984,97,2444,45,14.9,12.04,31,90,Good,Low,10,Yes,41520–64690
Sedan,7,151260,103,2662,42,9.2,11.52,42,87,Worn,Medium,11,Yes,51773–54729
Sedan,14,60282,92,1719,38,16.5,11.47,33,86,Good,Medium,3,No,40060–52142
Truck,15,57277,103,2830,34,8.3,12.72,44,108,Moderate,Medium,10,Yes,29786–48024
Sedan,2,118137,99,1680,20,14.9,11.91,31,105,Worn,High,5,No,46929–51861
SUV,5,38258,108,1721,32,18.0,11.8,35,53,Good,Low,6,No,67077–79777
Hatchback,15,199224,110,1544,43,6.3,12.08,41,75,Critical,High,12,Yes,27732–31446
SUV,2,66832,99,2470,38,18.0,12.74,37,33,Moderate,Medium,10,Yes,52878–78526
Sedan,4,190232,103,2279,44,7.7,12.03,42,56,Moderate,Low,2,Yes,66682–71376
Truck,11,133120,88,2300,32,18.1,12.07,34,89,Worn,Medium,4,Yes,37368–59266
Sedan,8,57922,100,1978,46,12.9,12.01,30,48,Worn,Low,10,Yes,49045–68743
SUV,15,67969,98,1615,38,7.6,12.6,35,49,Moderate,Medium,11,Yes,33078–46828
Truck,10,166814,87,2892,49,9.6,11.22,45,50,Worn,High,9,No,37700–41548
SUV,12,50595,110,2868,39,7.2,11.23,45,59,Critical,Medium,11,Yes,41508–51232
SUV,9,33993,96,2318,47,18.6,11.37,40,68,Worn,High,7,Yes,31597–58441
Truck,8,10599,90,2499,27,18.6,12.65,31,59,Critical,Low,12,Yes,57455–67389
Hatchback,12,164760,86,2775,41,13.4,12.53,35,88,Worn,High,4,No,37181–56887
Sedan,2,75093,105,2303,28,9.4,11.42,30,72,Moderate,Medium,2,No,61856–80960
Truck,7,113673,96,2473,47,8.6,11.7,41,76,Critical,Medium,5,Yes,54639–73975
Hatchback,4,36128,93,2483,47,6.1,11.38,41,78,Worn,Medium,1,No,58135–82803
Hatchback,13,27869,102,2912,46,14.2,12.52,36,71,Good,High,10,No,25736–33058
SUV,9,19047,91,2034,44,12.2,11.42,41,87,Worn,Low,5,Yes,51053–73965
Truck,15,146724,107,2100,41,18.0,12.44,41,66,Worn,High,10,Yes,27362–37596
Hatchback,14,149939,107,2198,35,16.6,12.09,31,38,Good,Medium,5,Yes,37063–52131
Sedan,1,44867,86,2486,40,12.9,11.83,40,99,Good,Medium,2,Yes,74355–79091
Hatchback,14,154774,109,2239,38,10.3,11.13,41,109,Good,Low,2,Yes,50178–52904
SUV,3,34907,104,2124,31,10.4,11.83,30,93,Good,Medium,10,Yes,38427–67979
Truck,13,7248,96,2044,45,10.7,11.54,37,37,Worn,High,6,Yes,39323–48799
Sedan,4,97328,95,1706,40,13.6,11.8,44,87,Worn,High,1,Yes,51975–75567
Hatchback,3,194637,107,2624,44,17.9,12.08,34,55,Good,High,4,No,43568–54878
SUV,15,127554,92,2700,46,13.1,12.99,36,99,Worn,High,10,No,22721–49545
Sedan,4,127875,91,2954,38,16.7,11.46,31,37,Critical,Medium,4,Yes,56916–76390
Sedan,11,126157,105,2628,32,15.2,12.89,33,62,Critical,Medium,5,No,37012–53248
Hatchback,5,172776,90,2921,29,11.0,12.06,32,36,Moderate,Low,9,No,59685–73015
SUV,4,88543,101,2781,34,13.6,11.42,34,48,Moderate,Low,11,No,66651–70219
SUV,13,94757,86,2378,41,17.9,12.67,31,110,Worn,High,11,No,20819–43663
Truck,2,158386,91,2549,37,18.6,11.46,43,64,Moderate,High,1,No,43581–71269
Truck,9,42134,95,1660,35,13.9,11.29,45,42,Good,Medium,12,Yes,44746–56214
Sedan,3,19845,93,2433,39,5.1,12.99,42,69,Worn,Low,10,Yes,64697–76027
Sedan,6,26225,97,1511,45,11.8,11.61,34,96,Good,Low,4,Yes,55470–74486
Sedan,6,55565,97,2030,36,5.6,11.23,36,103,Critical,High,12,No,38251–46819
Truck,1,53613,96,2637,46,7.0,12.18,42,72,Good,Low,12,Yes,61533–70735
Sedan,15,188017,101,2415,25,14.3,11.75,37,36,Critical,Low,2,No,49220–56032
Hatchback,5,15773,104,2796,26,12.2,11.89,32,71,Worn,High,12,No,35326–64368
Truck,7,78294,107,2719,22,8.9,11.8,34,83,Moderate,High,10,Yes,35484–57178
Truck,7,194606,95,2162,27,11.1,12.0,41,79,Worn,Medium,1,No,45220–64704
SUV,15,66257,105,1943,28,14.1,11.4,33,81,Critical,High,5,No,18939–42391
Sedan,8,23903,94,2247,45,19.7,12.01,42,85,Good,Medium,10,Yes,49880–70188
Hatchback,10,153889,96,1819,28,8.5,12.06,30,36,Moderate,Medium,6,No,39288–53232
Truck,8,22288,90,1956,40,19.0,12.98,43,101,Moderate,Medium,9,No,47549–61367
Sedan,11,88857,107,1502,36,12.4,11.48,39,89,Worn,High,8,No,26443–51881
Hatchback,4,119379,92,2216,43,11.4,12.32,36,36,Worn,Medium,2,Yes,52948–80122
Sedan,15,81473,110,1541,48,11.9,11.69,42,91,Moderate,High,9,No,25739–44893
Hatchback,3,198789,101,2938,47,12.9,11.43,43,39,Moderate,Medium,7,No,66261–72245
SUV,5,28275,103,2419,24,12.9,12.78,36,52,Good,Low,4,No,51590–76662
Hatchback,4,121675,92,2224,35,9.5,11.04,32,40,Good,Low,10,No,55771–70615
Sedan,1,128386,110,1832,31,13.7,12.69,42,73,Good,Medium,8,Yes,53333–74447
Truck,1,109131,95,1518,35,16.7,12.27,33,32,Moderate,Low,5,Yes,64062–82966
Sedan,11,115295,93,2021,31,9.9,11.71,41,65,Moderate,Low,6,No,46472–67284
Sedan,5,129972,98,2570,35,15.5,11.31,40,67,Moderate,High,4,No,35185–62057
Truck,10,44892,106,1543,37,19.9,11.16,33,72,Critical,High,10,Yes,39335–44139
Hatchback,1,189119,90,2491,21,5.1,12.02,32,55,Moderate,Medium,7,No,53076–67850
Hatchback,6,117770,95,1531,45,8.0,11.45,41,42,Critical,High,6,No,47808–55448
SUV,2,137608,87,1712,49,15.0,12.69,34,94,Good,High,1,Yes,57495–65651
SUV,3,137411,107,2915,21,10.3,11.27,34,98,Critical,Medium,12,Yes,55657–61157
Sedan,2,48517,107,2119,48,7.0,11.38,41,64,Critical,Low,6,Yes,59114–84528
SUV,2,147822,96,1613,42,15.3,11.88,43,48,Moderate,Medium,8,No,56311–67571
Sedan,9,88731,89,2484,33,16.8,11.73,42,69,Critical,Low,7,No,52097–75827
Truck,6,75179,91,1945,36,14.6,11.31,35,62,Worn,Medium,3,Yes,49708–68156
Truck,6,106554,93,2658,21,14.6,11.05,42,101,Critical,High,1,No,54507–62029
SUV,5,169291,107,1798,44,15.4,11.29,32,68,Worn,Medium,3,Yes,61402–71108
Sedan,9,176032,103,2636,23,14.6,12.6,31,52,Worn,Medium,4,Yes,43685–53285
SUV,15,193067,92,2070,20,6.2,11.58,36,79,Critical,Medium,7,No,35094–46490
SUV,4,9602,101,1572,21,11.3,11.75,38,84,Moderate,High,1,Yes,44105–66805
