Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
Hatchback,10,7984,85,1144,36,19.2,12.65,27,32,Good,High,8,No,50000-80000,51193.18121168796
Sedan,5,132389,86,1660,34,14.4,11.9,34,33,Good,High,4,No,25000-50000,32870.493813591725
SUV,10,158617,101,2588,26,10.9,12.43,43,31,Moderate,Low,11,No,25000-50000,25570.51857710858
SUV,5,54477,99,2762,39,10.3,11.89,29,29,Moderate,Medium,9,Yes,50000-80000,60574.836210899986
Sedan,3,122035,102,2146,41,13.0,12.09,44,36,Good,High,12,No,10000-25000,17854.021657357116
SUV,10,237754,101,1556,38,10.8,12.56,28,28,Good,Medium,7,Yes,50000-80000,65055.44462488008
SUV,5,220013,99,1944,33,12.1,12.35,43,35,Good,Medium,8,No,50000-80000,71690.60736497407
Truck,7,212121,110,1959,26,5.0,12.19,41,29,Good,High,5,No,3000-10000,6700.437575002918
Sedan,9,86770,84,1528,30,12.8,11.87,32,31,Good,Low,12,No,50000-80000,73482.41372949255
SUV,9,47560,97,846,37,10.5,12.01,34,29,Good,High,9,No,50000-80000,73952.12984531207
Sedan,8,96798,86,3099,31,16.0,12.45,44,34,Moderate,Medium,8,No,50000-80000,65274.61678899412
Hatchback,2,136689,87,2644,35,17.9,12.71,28,36,Good,Medium,2,Yes,50000-80000,51303.718894371144
Sedan,10,76983,93,2408,29,17.5,11.81,35,28,Critical,Low,5,No,25000-50000,35832.11577635886
SUV,12,12197,106,2751,29,12.6,11.87,32,36,Moderate,Medium,11,Yes,3000-10000,5344.352546444132
Hatchback,1,214586,86,1606,40,21.8,11.8,44,30,Good,Low,6,No,80000+,99415.57232106972
Truck,7,122391,114,2184,28,6.1,12.14,32,35,Moderate,Medium,8,No,10000-25000,19106.797133855536
Truck,5,222686,94,3283,33,4.4,12.44,31,32,Good,Low,7,No,50000-80000,52742.34051601329
SUV,3,238770,102,3072,37,12.2,11.96,33,35,Moderate,Medium,2,Yes,50000-80000,68835.65673910778
Sedan,12,49762,91,3129,36,13.1,12.58,27,31,Good,Medium,3,Yes,50000-80000,76966.08758129695
Truck,10,126381,109,2288,26,9.7,11.74,43,30,Good,Medium,11,No,3000-10000,5232.166425740091
Sedan,12,167118,97,2049,31,13.9,11.71,43,32,Critical,Low,11,Yes,3000-10000,9743.422678261739
Truck,7,247445,112,911,31,4.7,12.45,31,32,Good,High,6,No,3000-10000,4616.793787601509
Sedan,6,171157,101,1261,41,15.1,11.86,37,28,Good,High,8,No,25000-50000,26344.808246402386
Truck,7,23334,93,1297,20,5.1,12.19,39,32,Critical,High,7,Yes,0-3000,1281.7050665068941
Truck,8,21825,97,1531,29,3.3,11.85,36,34,Critical,High,7,Yes,0-3000,1409.01045811991
Sedan,8,185349,86,2237,33,12.5,12.04,31,36,Worn,Medium,6,No,50000-80000,72851.80254827088
Hatchback,4,18681,88,3258,37,20.2,11.82,43,36,Moderate,Low,11,No,50000-80000,66242.37237108733
Sedan,9,48110,97,1249,40,14.3,11.73,38,34,Good,Medium,12,No,25000-50000,45484.87610719046
Truck,9,106170,104,3053,24,9.8,12.4,39,36,Worn,Medium,9,No,25000-50000,36001.325133873164
SUV,7,117110,97,2687,28,9.3,11.94,26,35,Moderate,Medium,9,No,50000-80000,72896.80808055977
Hatchback,4,64016,92,655,47,16.8,12.24,29,36,Good,Low,11,No,50000-80000,61208.31954828138
Sedan,6,246249,91,715,41,13.2,11.78,32,36,Worn,Low,12,No,50000-80000,75944.55848187412
Hatchback,4,206896,83,2376,43,17.2,12.59,27,32,Good,Low,7,No,80000+,93707.47712050882
Hatchback,1,101733,98,3433,36,14.3,11.73,35,29,Good,Low,10,No,80000+,90329.96465895015
Hatchback,2,58737,99,2714,33,20.6,11.75,32,33,Worn,Low,11,No,25000-50000,25298.85186220327
Truck,12,51137,108,1039,29,9.2,11.71,27,35,Worn,Low,9,No,10000-25000,24640.62389570725
Sedan,7,174889,91,1399,33,14.5,12.14,27,28,Good,Medium,8,No,50000-80000,62833.325824102925
Hatchback,9,42655,97,1323,31,17.2,12.67,42,35,Moderate,Low,12,Yes,10000-25000,21824.009045068105
