Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
SUV,14,12781,103,2287,33,6.2,12.81,32,44,Moderate,High,8,Yes,25001–50000
SUV,4,84265,89,2157,47,5.6,11.67,32,59,Good,Low,12,No,50001–80000
SUV,13,71188,109,1715,36,6.9,11.77,38,78,Moderate,Low,6,No,50001–80000
Hatchback,13,94891,99,1831,20,16.3,12.03,45,71,Moderate,Medium,4,Yes,25001–50000
Hatchback,5,99478,97,2744,22,12.2,11.27,32,48,Worn,Medium,11,Yes,50001–80000
Hatchback,1,52222,106,2219,49,9.4,11.19,30,86,Moderate,Low,3,Yes,80001–120000
Truck,14,107724,94,2193,46,12.0,11.82,38,61,Critical,Low,8,No,50001–80000
SUV,13,52662,88,2049,45,13.2,11.08,44,51,Moderate,Medium,10,Yes,25001–50000
Truck,6,102508,97,1666,35,15.3,11.72,33,94,Worn,Medium,12,Yes,50001–80000
Truck,7,191256,94,2395,47,9.1,12.71,38,68,Worn,Low,4,No,50001–80000
Truck,8,158757,89,2293,21,11.3,11.01,34,78,Moderate,Medium,1,No,50001–80000
Sedan,5,160621,104,1763,44,19.3,11.78,45,69,Moderate,High,7,Yes,50001–80000
Truck,4,171373,104,1697,41,9.1,12.14,36,80,Critical,High,8,No,25001–50000
Hatchback,8,26704,92,2117,23,7.6,12.6,44,85,Good,Medium,5,Yes,50001–80000
Hatchback,2,140606,92,2156,47,9.2,11.82,42,34,Critical,Medium,3,No,50001–80000
Hatchback,9,26618,104,2460,49,10.4,12.57,30,49,Moderate,High,6,Yes,50001–80000
SUV,1,39568,89,2319,26,17.7,11.51,41,33,Critical,Medium,5,No,50001–80000
Sedan,6,111580,103,2660,36,14.3,11.15,33,106,Good,High,8,No,25001–50000
Hatchback,1,24018,109,2440,34,18.7,12.15,30,86,Moderate,Low,9,Yes,50001–80000
Sedan,6,96610,110,1744,46,12.0,12.44,31,75,Worn,Medium,8,Yes,50001–80000
SUV,4,105999,96,2273,41,18.3,12.96,40,75,Moderate,Medium,11,Yes,50001–80000
Truck,10,112407,108,2951,31,7.4,11.04,44,32,Moderate,High,1,No,25001–50000
