Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
SUV,3,163208,104,2526,38,11.8,12.2,38,30,Good,Low,12,No,54072-109006
Truck,12,10011,106,3155,19,5.6,12.15,43,31,Good,Low,10,No,11865-30007
Hatchback,7,190874,91,745,44,16.9,11.79,33,28,Good,Low,8,No,69397-128099
Hatchback,10,81205,92,2663,43,13.2,12.06,41,30,Good,Low,7,No,30335-180000
Truck,9,100784,115,3157,29,9.3,11.9,43,30,Moderate,Low,9,No,15554-34806
Sedan,10,73027,86,1052,40,10.7,12.23,33,29,Good,Low,1,Yes,61867-175461
Hatchback,7,201418,98,1088,35,15.6,12.69,39,33,Critical,Low,4,No,25561-78977
Hatchback,10,60035,90,734,37,15.3,12.44,27,33,Critical,Medium,11,No,9085-33713
Sedan,2,8959,88,1199,40,14.0,12.45,44,34,Good,Low,8,No,78566-156868
Sedan,6,36792,92,2175,39,13.8,12.06,41,33,Good,Low,6,No,44456-147522
Truck,2,177743,104,1703,23,9.5,12.67,30,36,Critical,Medium,11,No,2178-3986
Sedan,3,174287,91,886,42,15.6,11.71,28,36,Worn,Low,1,No,64239-170507
SUV,7,78296,94,1808,29,14.8,12.15,37,35,Critical,Low,12,No,32350-74236
Sedan,2,54528,99,2818,38,12.5,12.51,30,34,Moderate,Low,2,No,42204-180000
Hatchback,4,207954,90,3486,37,17.0,11.96,31,29,Critical,Low,8,Yes,23114-82634
Hatchback,3,205950,96,2340,30,17.3,11.84,45,30,Good,High,11,No,9451-30953
Hatchback,7,128760,88,675,36,14.6,12.79,41,33,Worn,Medium,8,No,28798-83788
Sedan,8,77536,88,617,35,14.9,12.09,41,28,Good,Low,5,No,50077-139813
Truck,11,35405,102,2423,25,8.5,12.28,25,30,Good,Low,11,No,17291-55617
Hatchback,12,77263,92,682,38,17.5,11.76,27,35,Moderate,Medium,8,No,44769-90577
SUV,3,96621,97,1824,34,12.9,12.14,36,30,Good,Low,12,Yes,27479-82831
SUV,6,122001,90,2030,42,13.3,12.08,36,33,Good,Low,7,No,85539-155877
Truck,3,16089,103,2910,17,11.1,12.26,25,31,Good,Low,2,No,23651-46431
SUV,10,186813,90,2306,32,12.2,12.31,38,32,Good,High,10,No,40770-68386
Truck,1,234939,111,3298,24,8.1,12.31,31,33,Critical,Low,10,No,6046-11560
SUV,8,120942,99,3473,35,12.9,12.46,28,36,Good,Low,4,No,68223-180000
Truck,5,16760,114,3427,20,6.4,12.66,32,32,Critical,Medium,6,No,1008-2902
Truck,1,223966,110,2435,17,9.1,12.63,28,31,Good,Medium,6,No,5342-14478
Truck,9,118925,101,2149,26,8.4,11.85,39,35,Good,Low,3,No,38722-80394
Hatchback,9,199154,95,1428,40,20.3,12.39,42,34,Good,Medium,1,No,87857-140747
Truck,10,233472,104,992,35,6.8,12.69,43,31,Good,High,1,Yes,9455-20987
Sedan,8,131150,96,2738,31,18.1,11.82,29,28,Good,Low,11,No,20222-32490
SUV,6,173642,90,3043,30,14.9,12.09,30,28,Good,Medium,7,No,79671-180000
SUV,11,240489,103,1606,35,11.9,11.88,37,36,Moderate,Low,1,Yes,14563-180000
Sedan,9,187570,95,2970,33,12.3,12.31,41,29,Good,Low,12,No,27574-108464
Sedan,5,211174,94,1773,27,16.5,12.34,37,31,Good,Low,11,No,41283-105115
Hatchback,11,204368,94,1062,46,21.9,11.8,39,35,Critical,Medium,7,No,25444-61294
SUV,12,71141,93,3442,27,12.5,12.09,31,29,Good,Medium,6,No,85360-151262
Sedan,12,175877,90,1564,39,14.7,12.76,42,31,Worn,High,10,No,16278-55146
Hatchback,2,178158,100,703,43,21.7,11.78,39,31,Moderate,High,3,No,14199-50375
SUV,12,90385,98,1335,25,12.5,12.65,33,28,Good,Low,9,No,66006-109364
Sedan,1,109470,88,2420,37,18.4,12.72,41,30,Good,Low,4,Yes,77208-175850
Truck,1,72093,107,3144,24,6.0,12.09,38,33,Critical,High,9,No,1835-3551
SUV,10,167876,98,2391,30,9.1,12.07,45,28,Critical,Low,8,No,32350-50972
Hatchback,9,180091,97,2551,35,17.3,12.1,39,28,Moderate,Low,5,Yes,20435-66437
Truck,11,240892,98,2436,25,5.9,12.22,40,31,Good,Low,2,No,29478-153475
Sedan,5,190273,90,1652,34,10.9,11.7,36,30,Critical,Low,7,Yes,29329-90219
Truck,11,78385,97,2053,23,9.6,12.39,38,32,Good,High,6,No,19051-31145
SUV,8,197235,103,2446,31,10.8,12.26,40,30,Moderate,Low,9,No,27518-105468
Hatchback,11,72530,88,1036,41,13.8,12.19,31,29,Critical,Medium,10,No,20004-68682
SUV,9,171651,99,2777,28,13.5,12.43,39,34,Moderate,Low,7,Yes,54635-83145
Sedan,9,183529,89,2249,37,16.5,12.18,45,34,Moderate,Medium,4,No,40249-115485
Sedan,7,150478,96,955,33,13.3,12.09,39,34,Worn,Low,2,No,34745-81357
Sedan,9,206332,95,2422,31,13.2,12.27,25,32,Moderate,Low,1,No,33537-100891
Sedan,5,12901,90,3015,34,18.4,12.5,32,35,Good,Low,2,No,42630-122060
Sedan,1,248000,94,1955,33,16.7,11.91,39,28,Moderate,Low,7,No,8468-161741
Sedan,7,54224,82,1487,37,15.2,12.02,33,31,Good,High,4,No,26671-85125
SUV,1,42079,99,2759,30,9.6,12.42,25,33,Good,Medium,1,No,67586-141994
Sedan,10,153226,87,2812,43,12.2,12.46,39,29,Good,Low,4,Yes,66248-137618
Sedan,4,42556,94,2193,25,12.7,11.88,27,29,Good,Low,5,No,53414-121964
SUV,9,165889,104,1593,23,13.4,12.68,41,31,Good,Low,10,No,62772-180000
SUV,2,114737,92,2926,37,13.4,12.59,32,28,Good,Low,5,No,102851-175679
SUV,11,14075,96,695,28,12.8,11.86,36,32,Good,Medium,10,No,58963-95565
Truck,9,31702,101,2471,33,9.6,11.8,34,35,Moderate,Low,7,Yes,19370-62936
Truck,6,48293,102,888,25,8.6,12.2,28,35,Good,Low,12,No,15364-40390
Truck,7,61031,101,1633,33,5.5,12.04,37,31,Moderate,High,12,No,2888-12515
Hatchback,1,208297,99,3436,38,21.7,12.05,32,29,Moderate,High,4,No,17780-32306
Truck,10,136031,99,2676,35,2.8,12.08,37,34,Moderate,Low,6,Yes,24986-93356
SUV,8,237299,102,2015,28,8.0,11.9,38,34,Moderate,High,5,No,18835-62811
SUV,5,180527,101,3073,41,10.3,12.61,30,29,Moderate,High,8,No,15319-52891
Truck,1,190263,106,1956,22,9.5,12.28,28,35,Good,Low,12,No,9821-33619
Sedan,10,83061,97,899,44,13.6,12.07,31,35,Good,Medium,7,Yes,33619-113417
Hatchback,8,218946,94,1841,33,16.6,12.14,42,35,Moderate,Medium,5,No,62834-100370
Sedan,12,16325,89,1822,39,17.3,11.99,31,30,Worn,Low,11,No,52892-106270
SUV,12,208913,94,1646,33,12.1,11.72,33,31,Critical,High,8,Yes,14287-30941
Truck,3,237838,102,1494,22,4.3,11.81,36,28,Good,Low,7,No,51393-89833
Hatchback,9,63528,96,2730,35,16.3,12.51,30,34,Good,Low,10,No,32845-130337
Sedan,10,167261,83,3407,28,14.0,11.86,43,31,Worn,Low,6,No,63998-106574
Hatchback,11,41529,90,736,34,15.0,11.82,33,29,Good,Low,12,No,26958-77956
Sedan,6,117385,85,1792,31,13.0,11.7,44,35,Good,High,7,No,19355-55667
Hatchback,7,32414,92,3481,31,14.7,11.91,36,35,Good,Medium,8,Yes,13087-173010
Truck,9,154147,109,2567,33,4.2,12.43,29,29,Critical,Low,10,No,1495-5665
Truck,2,143044,98,3295,22,6.0,11.93,34,35,Good,High,3,No,7106-14124
Truck,12,87586,101,642,29,5.4,12.25,28,34,Moderate,Low,11,No,19925-35929
Sedan,10,158940,91,1782,28,15.7,12.03,27,36,Good,Low,8,No,33720-180000
Truck,8,77434,100,2834,32,9.9,12.23,33,28,Critical,Medium,6,No,7792-29422
Truck,6,31854,98,1046,15,6.0,12.74,41,35,Good,Low,6,No,21994-61860
SUV,9,100924,104,1280,36,11.9,11.86,38,28,Moderate,High,12,Yes,9246-29864
Sedan,1,242406,91,3239,31,15.0,11.7,44,36,Critical,High,5,No,10097-17845
Hatchback,2,80669,87,843,43,16.1,12.41,42,36,Good,Low,2,No,30092-180000
Truck,8,39472,98,2503,25,6.2,12.14,42,33,Good,High,4,No,13993-22181
Truck,2,210384,103,2329,22,5.1,11.84,30,35,Good,Low,1,No,32799-69237
Hatchback,8,117218,82,1015,37,21.8,12.23,39,29,Good,Low,1,No,54527-148045
Sedan,8,15076,96,2548,40,13.6,11.8,31,34,Worn,High,8,No,35760-60916
Sedan,4,38905,91,3483,31,17.7,11.89,42,36,Good,Low,8,No,81023-180000
Sedan,3,239558,87,2028,44,10.9,11.78,35,29,Good,Medium,10,No,95756-147940
Truck,6,166310,101,1676,33,6.9,11.76,31,30,Good,Medium,11,No,6543-21481
Truck,6,5132,98,1176,24,10.7,12.7,35,36,Critical,Medium,5,No,19740-32666
Truck,1,216352,111,2663,30,9.5,12.13,35,32,Good,Medium,2,Yes,13994-40880
SUV,5,88505,97,1635,32,8.2,12.44,38,32,Good,Low,2,No,52267-173551
Truck,8,22092,106,2968,25,7.7,11.8,34,32,Good,Medium,10,No,10910-29622
Sedan,3,33967,101,2408,29,15.4,12.08,30,34,Worn,High,1,No,38217-64275
Truck,2,140754,97,1441,25,8.7,12.6,27,34,Good,Medium,4,No,21015-36437
Sedan,6,68324,95,2447,31,11.5,12.55,38,28,Critical,Medium,8,No,2206-57677
Sedan,9,131486,88,1679,43,14.1,11.9,43,33,Moderate,Low,5,Yes,45074-103376
Truck,11,129584,94,1656,24,10.2,12.58,30,33,Good,Low,4,Yes,27347-83419
SUV,3,228740,102,3291,27,13.7,12.36,26,30,Moderate,Medium,1,Yes,50047-120467
Truck,7,215477,108,1497,22,6.0,12.54,42,36,Moderate,Medium,2,Yes,13694-45354
Hatchback,12,33496,84,3043,35,21.0,12.59,33,29,Moderate,High,2,No,36856-68042
Truck,10,133779,94,1542,26,6.5,12.76,34,28,Good,Medium,12,No,20103-48159
Sedan,5,115193,99,2885,33,16.3,12.53,25,34,Moderate,Low,10,No,42241-100611
Hatchback,2,102440,91,1554,36,21.3,12.09,31,33,Moderate,Medium,6,No,69348-108912
SUV,4,18064,96,2572,28,13.3,12.73,32,30,Good,High,11,No,9764-25208
Sedan,10,26366,102,2317,37,11.9,12.27,29,35,Good,Medium,3,No,28098-97398
SUV,2,6587,95,1774,32,9.4,12.78,42,33,Moderate,Low,12,No,45576-71426
Truck,3,38473,107,3275,21,8.5,12.58,43,35,Critical,Low,1,No,7499-13177
Hatchback,11,72549,96,771,35,17.8,12.46,36,33,Good,Low,4,No,36716-82076
Hatchback,11,219648,89,2126,30,17.7,11.91,31,31,Moderate,Low,8,No,21333-150816
Hatchback,2,241397,93,3219,43,16.4,12.39,41,30,Good,High,12,No,21798-69478
Hatchback,8,218266,97,711,34,18.0,12.77,25,33,Moderate,Medium,4,No,19677-68719
Hatchback,12,75556,87,684,34,20.7,12.6,33,34,Worn,Low,5,No,51726-93492
Truck,3,207458,95,2765,36,5.3,12.76,25,34,Worn,Low,3,No,44308-130120
Truck,11,52661,104,685,20,4.3,12.17,37,30,Good,Low,1,No,17998-48436
Truck,8,169142,95,786,30,8.3,12.33,35,28,Moderate,Low,6,No,12671-39279
Sedan,9,187387,89,2148,27,14.2,12.04,29,33,Good,Low,9,No,74246-153690
Sedan,7,246596,88,874,35,13.1,11.94,29,29,Worn,Low,12,No,22244-47828
Hatchback,6,184558,93,3129,43,21.6,12.39,35,33,Good,Medium,6,Yes,51267-83099
Hatchback,1,35288,86,1930,35,16.0,12.32,33,32,Good,Low,2,No,45870-150647
Truck,6,164062,99,2178,30,5.6,11.84,45,29,Critical,High,9,No,2325-4269
Truck,9,197606,103,1453,27,6.9,11.75,34,32,Good,High,4,No,5974-19558
Sedan,4,119126,99,851,39,17.0,12.78,33,36,Good,Low,8,No,65247-143459
SUV,12,118472,96,3493,27,8.5,12.27,43,31,Good,Low,1,No,60200-180000
Sedan,2,23511,92,2997,27,17.9,11.74,40,34,Worn,Medium,6,No,48293-80363
SUV,10,194042,91,1852,37,8.3,12.18,31,34,Good,Low,5,No,73010-145046
Hatchback,2,21315,99,2616,29,21.7,11.92,40,36,Good,Low,9,No,40216-82002
Sedan,1,40287,92,2157,30,18.7,12.52,33,30,Good,Medium,11,Yes,27210-54328
Sedan,10,138177,89,2169,40,16.3,11.97,33,36,Critical,High,7,No,5731-20567
Truck,1,131390,104,1902,29,6.8,12.52,40,28,Good,High,6,No,10807-36939
Sedan,11,147841,99,3397,33,13.1,12.48,42,28,Worn,Low,2,No,39370-75008
Sedan,10,62620,102,604,27,16.4,12.0,30,28,Critical,Low,7,No,23225-57115
Truck,1,135988,106,2549,23,5.3,12.43,25,31,Worn,High,8,Yes,899-1829
SUV,5,116432,97,2412,30,12.4,11.8,39,28,Moderate,High,3,No,33044-60302
Sedan,3,10361,96,2800,32,16.2,12.04,26,36,Good,Low,5,No,57707-87185
Hatchback,2,9691,91,1578,30,21.1,11.82,33,32,Critical,Medium,1,No,19964-60908
Sedan,3,142359,91,1443,40,15.3,12.77,31,34,Critical,Low,1,No,17134-171586
SUV,11,26846,100,874,27,13.0,12.31,45,36,Good,Low,9,No,25021-180000
