Vehicle_ID,Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,Health_Score,KM_Range_Before_Defect
V00001,SUV,7,44779,102,2512,20,12.4,11.29,36,104,Good,High,8,No,40,"25,001–50,000"
V00002,Truck,10,163535,89,1523,24,8.5,11.08,44,107,Worn,High,5,Yes,60,"50,001–80,000"
V00003,Sedan,3,153156,94,2871,33,9.0,12.59,34,34,Worn,High,4,Yes,80,"80,001+"
V00004,SUV,12,22936,98,2983,20,15.7,12.05,41,94,Worn,Medium,8,Yes,70,"50,001–80,000"
V00005,Sedan,10,178476,95,2851,43,13.3,12.96,37,102,Critical,Medium,12,No,70,"50,001–80,000"
V00006,Truck,3,183828,97,2595,25,8.6,12.67,43,103,Critical,Medium,2,Yes,60,"50,001–80,000"
V00007,Hatchback,2,86210,105,2336,46,16.3,11.72,35,86,Moderate,Low,8,No,80,"80,001+"
V00008,Hatchback,15,147752,107,2016,46,12.7,11.23,37,86,Worn,Low,7,Yes,70,"50,001–80,000"
V00009,Sedan,6,60042,103,2391,37,16.3,12.97,38,39,Worn,Medium,5,No,80,"80,001+"
V00010,Hatchback,4,141862,102,2564,20,17.7,11.43,33,70,Critical,Low,4,No,40,"25,001–50,000"
V00011,SUV,6,65827,86,2197,35,11.3,12.05,38,106,Critical,Low,7,Yes,80,"80,001+"
V00012,Sedan,1,194280,104,2676,34,9.2,11.36,41,95,Worn,Medium,4,No,80,"80,001+"
V00013,Sedan,5,140580,88,2477,48,8.9,12.42,35,59,Good,Low,9,Yes,90,"80,001+"
V00014,Truck,3,131746,88,2098,42,17.3,11.93,41,64,Critical,Low,3,No,80,"80,001+"
V00015,Hatchback,12,95271,102,1620,27,6.6,11.57,31,58,Critical,Medium,2,No,30,"10,001–25,000"
V00016,SUV,10,176497,92,1752,25,15.7,11.16,43,47,Worn,Medium,3,Yes,80,"80,001+"
V00017,SUV,5,69501,100,2911,21,14.6,11.6,38,68,Worn,High,6,No,60,"50,001–80,000"
V00018,SUV,7,196234,98,2412,48,12.6,11.52,38,62,Critical,Medium,10,No,70,"50,001–80,000"
V00019,Hatchback,15,169502,89,1873,41,11.2,12.17,33,31,Moderate,High,6,Yes,70,"50,001–80,000"
V00020,Sedan,3,69064,103,1689,43,17.5,11.77,43,102,Worn,Medium,5,Yes,80,"80,001+"
V00021,Hatchback,2,161482,91,2885,40,19.0,11.07,30,40,Moderate,Medium,11,Yes,90,"80,001+"
V00022,Truck,15,73426,104,2097,31,16.7,12.89,38,36,Moderate,Medium,5,No,70,"50,001–80,000"
V00023,SUV,10,15990,91,2968,29,12.3,12.4,37,53,Good,Medium,11,No,70,"50,001–80,000"
