Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
Hatchback,10,7984,85,1144,36,19.2,12.65,27,32,Good,High,8,No,50000-80000,71035.33223581585
Sedan,5,132389,86,1660,34,14.4,11.9,34,33,Good,High,4,No,25000-50000,27994.23968229337
SUV,10,158617,101,2588,26,10.9,12.43,43,31,Moderate,Low,11,No,25000-50000,36608.60101836444
SUV,5,54477,99,2762,39,10.3,11.89,29,29,Moderate,Medium,9,Yes,50000-80000,55423.79826600117
Sedan,3,122035,102,2146,41,13.0,12.09,44,36,Good,High,12,No,10000-25000,15216.5084853119
SUV,10,237754,101,1556,38,10.8,12.56,28,28,Good,Medium,7,Yes,50000-80000,61258.60983195064
SUV,5,220013,99,1944,33,12.1,12.35,43,35,Good,Medium,8,No,50000-80000,63933.12571628076
Truck,7,212121,110,1959,26,5.0,12.19,41,29,Good,High,5,No,3000-10000,9375.614207514409
Sedan,9,86770,84,1528,30,12.8,11.87,32,31,Good,Low,12,No,50000-80000,57143.00832328298
SUV,9,47560,97,846,37,10.5,12.01,34,29,Good,High,9,No,50000-80000,53522.27857893568
Sedan,8,96798,86,3099,31,16.0,12.45,44,34,Moderate,Medium,8,No,50000-80000,70329.3260596535
Hatchback,2,136689,87,2644,35,17.9,12.71,28,36,Good,Medium,2,Yes,50000-80000,74207.37131812937
Sedan,10,76983,93,2408,29,17.5,11.81,35,28,Critical,Low,5,No,25000-50000,27859.972450244724
SUV,12,12197,106,2751,29,12.6,11.87,32,36,Moderate,Medium,11,Yes,3000-10000,7657.927618105467
Hatchback,1,214586,86,1606,40,21.8,11.8,44,30,Good,Low,6,No,80000+,92381.62143710023
Truck,7,122391,114,2184,28,6.1,12.14,32,35,Moderate,Medium,8,No,10000-25000,15179.967935752731
Truck,5,222686,94,3283,33,4.4,12.44,31,32,Good,Low,7,No,50000-80000,67413.68782426
SUV,3,238770,102,3072,37,12.2,11.96,33,35,Moderate,Medium,2,Yes,50000-80000,69309.45098392342
Sedan,12,49762,91,3129,36,13.1,12.58,27,31,Good,Medium,3,Yes,50000-80000,67859.09892757094
Truck,10,126381,109,2288,26,9.7,11.74,43,30,Good,Medium,11,No,3000-10000,9663.68423178171
Sedan,12,167118,97,2049,31,13.9,11.71,43,32,Critical,Low,11,Yes,3000-10000,6680.9162800150125
Truck,7,247445,112,911,31,4.7,12.45,31,32,Good,High,6,No,3000-10000,3238.09584250029
Sedan,6,171157,101,1261,41,15.1,11.86,37,28,Good,High,8,No,25000-50000,36918.22956542707
Truck,7,23334,93,1297,20,5.1,12.19,39,32,Critical,High,7,Yes,0-3000,491.45475946770944
Truck,8,21825,97,1531,29,3.3,11.85,36,34,Critical,High,7,Yes,0-3000,2339.1622601387016
Sedan,8,185349,86,2237,33,12.5,12.04,31,36,Worn,Medium,6,No,50000-80000,61941.13093814495
Hatchback,4,18681,88,3258,37,20.2,11.82,43,36,Moderate,Low,11,No,50000-80000,67217.03549884376
Sedan,9,48110,97,1249,40,14.3,11.73,38,34,Good,Medium,12,No,25000-50000,29129.39365520907
Truck,9,106170,104,3053,24,9.8,12.4,39,36,Worn,Medium,9,No,25000-50000,25643.00258166416
SUV,7,117110,97,2687,28,9.3,11.94,26,35,Moderate,Medium,9,No,50000-80000,63366.03583633806
Hatchback,4,64016,92,655,47,16.8,12.24,29,36,Good,Low,11,No,50000-80000,71967.26531713226
Sedan,6,246249,91,715,41,13.2,11.78,32,36,Worn,Low,12,No,50000-80000,58049.72788857846
Hatchback,4,206896,83,2376,43,17.2,12.59,27,32,Good,Low,7,No,80000+,99204.22611577333
Hatchback,1,101733,98,3433,36,14.3,11.73,35,29,Good,Low,10,No,80000+,90039.45836770517
Hatchback,2,58737,99,2714,33,20.6,11.75,32,33,Worn,Low,11,No,25000-50000,48598.87807446704
Truck,12,51137,108,1039,29,9.2,11.71,27,35,Worn,Low,9,No,10000-25000,23801.845864386654
Sedan,7,174889,91,1399,33,14.5,12.14,27,28,Good,Medium,8,No,50000-80000,67963.50609251755
Hatchback,9,42655,97,1323,31,17.2,12.67,42,35,Moderate,Low,12,Yes,10000-25000,19293.85735475434
SUV,1,6027,100,2617,23,11.6,12.58,45,34,Moderate,High,3,No,25000-50000,30143.839522722836
Hatchback,7,14477,94,1902,33,21.3,12.19,35,30,Good,Medium,12,No,25000-50000,32162.155980821615
Sedan,12,246371,87,1558,31,15.2,11.89,36,36,Moderate,Medium,2,No,50000-80000,68643.87648361083
Truck,12,126015,103,2482,17,5.4,12.25,34,31,Good,Low,12,No,10000-25000,15436.03138602676
SUV,8,143110,91,3285,29,9.8,11.79,36,36,Good,Low,10,No,80000+,91108.09742178977
Hatchback,2,32291,87,1953,37,14.9,12.37,42,34,Moderate,Medium,7,Yes,50000-80000,76890.62511627827
Sedan,7,231655,95,2025,41,15.8,12.38,41,36,Moderate,Low,2,No,80000+,94659.84222043886
SUV,7,207235,106,1613,31,10.5,12.59,37,32,Critical,Low,4,No,10000-25000,11172.953696282882
Sedan,12,163606,86,2813,32,13.3,12.55,40,31,Good,Low,4,No,80000+,93464.17446367072
Truck,11,158904,94,3402,34,5.9,12.5,36,31,Moderate,High,5,Yes,10000-25000,19957.954564581945
Truck,11,148875,99,1725,18,9.7,12.46,36,35,Good,Low,5,No,25000-50000,46923.70783142329
Hatchback,7,52684,90,1047,35,20.8,12.56,44,36,Good,Low,10,Yes,50000-80000,58134.6371367068
SUV,8,41029,100,1708,43,10.4,12.04,30,36,Moderate,Medium,10,No,50000-80000,79845.86409527787
Truck,5,103367,112,3336,34,5.4,12.49,32,31,Good,Medium,11,No,3000-10000,7558.712666702842
Hatchback,9,150277,86,1928,39,17.8,11.84,39,30,Worn,Low,10,Yes,50000-80000,67798.20422916391
SUV,9,78157,101,2527,25,12.1,11.99,27,36,Good,High,3,No,25000-50000,42325.26124224173
SUV,5,136121,89,3352,39,14.6,12.12,32,29,Good,High,3,No,50000-80000,74778.54221112825
Truck,10,137460,117,1332,36,9.3,12.04,42,32,Good,Medium,12,Yes,3000-10000,5647.772239886226
Truck,2,100545,107,2038,21,5.9,12.17,40,35,Moderate,Low,5,No,3000-10000,4105.481511654227
Hatchback,2,117014,87,1327,38,17.6,12.11,35,36,Good,Medium,12,Yes,25000-50000,47428.18893461928
SUV,3,217143,99,3468,27,7.0,12.17,26,30,Good,High,8,No,25000-50000,30822.989850456543
Sedan,8,47675,101,2284,40,16.0,12.09,27,32,Good,Low,4,No,80000+,85562.37738810178
Sedan,10,98157,97,1302,39,16.1,12.31,28,29,Moderate,Medium,11,Yes,10000-25000,17807.073314901798
Sedan,10,23351,102,2628,42,13.2,12.37,43,36,Good,Low,1,No,80000+,93144.56936483592
Hatchback,1,170131,86,2603,37,20.4,12.65,30,34,Good,High,1,No,50000-80000,79997.43726675032
Hatchback,4,124519,100,2952,41,17.7,12.13,29,31,Moderate,High,5,No,25000-50000,36621.178260839726
SUV,11,35708,103,1655,39,10.4,11.86,38,28,Good,Medium,9,No,80000+,84631.9516178496
Sedan,4,82611,97,2118,43,15.4,12.23,32,29,Good,High,8,No,25000-50000,46037.424042037426
Hatchback,12,9603,95,602,30,20.6,12.18,36,35,Good,Low,1,No,80000+,87131.48831341282
Sedan,6,92062,97,1020,31,15.5,11.73,33,30,Moderate,Low,3,No,50000-80000,72306.31284847342
Hatchback,5,86115,94,2104,33,18.6,12.4,29,30,Moderate,Low,8,No,50000-80000,56263.599821853386
Hatchback,7,110152,90,1309,32,20.1,11.86,38,29,Good,High,3,Yes,25000-50000,34816.532800159956
Hatchback,7,46657,90,2741,37,20.2,11.81,41,30,Moderate,Low,11,No,50000-80000,57558.245625407566
SUV,2,13512,87,1355,26,12.8,11.95,28,33,Good,Low,6,No,80000+,97306.13939247253
Hatchback,3,106583,97,1480,44,18.2,12.36,40,34,Good,Low,5,No,80000+,85825.85717511449
Truck,3,170943,112,1691,21,7.2,12.57,26,28,Moderate,Medium,7,No,3000-10000,9888.02466885586
Hatchback,1,46961,86,2199,44,15.8,12.76,34,31,Good,Medium,4,No,80000+,88794.62660411594
Truck,12,126103,116,2632,31,7.9,11.91,25,33,Critical,Low,4,No,3000-10000,9042.387846945761
Truck,6,237301,99,3302,31,7.6,11.73,29,34,Good,High,10,Yes,10000-25000,21331.726602237388
SUV,12,65030,97,2652,39,13.0,12.41,34,31,Moderate,High,2,Yes,25000-50000,30665.99965280036
Hatchback,6,226820,91,2128,34,19.8,12.6,33,34,Moderate,High,4,No,25000-50000,49690.5301238249
Truck,3,173261,113,935,23,4.6,12.61,26,31,Worn,Low,2,No,25000-50000,36274.89248284428
SUV,7,146200,94,2622,22,7.8,11.96,40,35,Good,Low,11,No,50000-80000,70481.82016205965
Hatchback,9,224295,92,973,33,15.9,11.87,29,33,Good,Low,4,No,80000+,90566.5481643134
Truck,4,39655,98,947,23,6.9,12.44,34,28,Moderate,Low,3,No,25000-50000,44343.356852843724
SUV,5,90015,107,2554,40,9.7,12.19,40,32,Good,Low,4,No,50000-80000,65221.31196559119
Sedan,10,64761,95,1672,30,16.8,12.37,41,36,Good,Low,4,Yes,50000-80000,74098.55963396326
SUV,1,71372,87,3448,32,10.0,12.35,45,28,Good,Low,11,No,50000-80000,52029.78505478276
Truck,5,127374,114,1248,34,9.0,12.7,32,36,Worn,Medium,11,No,3000-10000,9630.11815670086
SUV,7,64542,96,2281,28,11.8,11.99,31,36,Worn,Medium,11,No,25000-50000,45138.37484202717
Truck,2,140821,111,2608,26,3.9,12.28,37,33,Good,High,1,No,10000-25000,19038.23968022038
SUV,4,27259,101,1524,30,10.3,11.82,30,33,Good,Low,5,No,80000+,95927.82665015827
Hatchback,11,18508,85,2933,35,15.1,12.74,40,32,Moderate,Low,4,No,50000-80000,76671.07917066453
SUV,6,32919,94,652,39,8.8,12.51,42,32,Good,Low,11,No,80000+,93476.03529490563
SUV,7,79048,96,1648,31,13.4,11.78,40,35,Good,Medium,11,No,25000-50000,35458.23465423811
Sedan,2,160958,91,1110,37,14.8,12.45,43,36,Moderate,Medium,5,No,50000-80000,66427.86250583158
Sedan,7,42387,89,2765,31,16.7,12.13,37,28,Good,High,12,No,10000-25000,20440.555790939583
Truck,1,243283,96,2343,26,10.3,12.17,35,36,Worn,Low,10,No,25000-50000,44365.464274023616
SUV,11,147792,106,839,31,10.2,11.87,37,32,Good,Low,10,No,50000-80000,75919.81763712662
SUV,3,197784,94,948,35,8.7,11.87,42,35,Critical,Low,1,No,50000-80000,55607.15392928486
Truck,8,161253,105,1814,20,3.5,12.68,39,34,Good,High,8,Yes,3000-10000,5208.729890830634
Truck,3,30178,99,830,35,6.1,12.22,42,36,Worn,Medium,9,No,25000-50000,47791.66361861902
Truck,1,12722,105,1259,16,5.3,12.26,31,33,Moderate,Medium,9,No,10000-25000,14765.89180468634
SUV,12,104930,95,614,29,10.3,11.81,45,32,Moderate,Low,10,Yes,50000-80000,71491.00113657131
Sedan,1,25813,86,613,30,13.4,12.64,42,36,Good,Low,11,No,50000-80000,68384.01779247196
Sedan,4,197932,83,3114,40,12.9,11.75,43,35,Good,Medium,5,No,80000+,86929.4318370122
Hatchback,10,204624,95,1644,32,19.5,12.4,44,36,Moderate,High,9,No,10000-25000,20226.86969011936
Truck,1,5760,115,2104,31,5.6,12.34,44,32,Moderate,Medium,7,No,10000-25000,14360.187643564126
Hatchback,1,242178,86,2722,38,20.7,12.62,31,34,Critical,Low,8,Yes,25000-50000,27295.762990383602
Hatchback,8,217727,94,1391,38,19.0,12.1,26,28,Critical,Low,11,No,25000-50000,36748.31696185314
Sedan,10,58451,84,1641,35,13.2,12.05,28,33,Good,Medium,8,No,50000-80000,55689.33513812337
Hatchback,4,214298,89,1045,41,18.8,11.97,33,29,Moderate,High,12,No,10000-25000,16420.909530474226
SUV,10,140195,92,2298,23,10.5,11.82,33,33,Good,Low,6,No,80000+,85066.3824551033
Truck,7,194330,104,2773,26,8.4,12.68,35,35,Good,High,10,No,10000-25000,13681.317172478291
SUV,3,107698,95,1142,30,13.7,12.46,40,29,Good,Low,6,No,80000+,91190.47805849866
SUV,6,68538,92,1687,42,8.6,12.65,31,34,Worn,Low,6,No,80000+,84902.77620757684
Hatchback,9,110882,86,2442,34,23.0,12.44,25,28,Good,High,6,No,25000-50000,35988.16361858346
Truck,7,40252,112,2079,17,7.6,11.92,28,31,Critical,Low,2,No,3000-10000,7387.369677887557
Hatchback,5,8149,84,763,48,21.0,11.81,41,33,Good,Low,2,No,80000+,92077.3677085217
SUV,1,122190,100,2277,35,11.9,11.77,25,30,Critical,Medium,7,No,25000-50000,44633.81417853967
Sedan,6,148896,89,3056,35,13.1,12.25,37,29,Worn,Low,9,No,50000-80000,50939.50340614226
SUV,1,105543,98,3479,32,12.3,11.95,30,29,Good,Medium,12,No,25000-50000,33683.833719093534
SUV,10,195515,96,2655,25,11.6,12.48,36,31,Moderate,High,9,Yes,10000-25000,11641.367796005776
Sedan,5,202052,92,1694,37,12.5,12.7,36,31,Good,Low,9,No,80000+,89288.06577541443
Hatchback,2,26904,88,1213,38,16.6,11.96,35,32,Critical,Medium,2,No,50000-80000,53885.399878159245
Sedan,9,167804,90,1784,29,16.8,12.26,26,28,Good,Medium,4,No,50000-80000,70343.44319007917
Hatchback,2,242458,98,1059,45,20.8,12.18,31,32,Good,Low,3,No,80000+,86150.16495197537
Sedan,4,242455,92,3301,27,11.7,11.8,35,28,Worn,Medium,6,No,50000-80000,64743.087919492136
